WPI Id,Card Name,Quantity,Set,Condition,Foil,Language,SKU,Product Id,Mana Cost,CMC,Main Type,Sub Types,Is Legendary,Oracle Text,Legalities,Reserved List,Keywords,Rarity,Optionals,List of SKUs,Price
114,Meditate,1,TMP,SP,n,EN,368414,5628,{2}{U},3,['Instant'],,FALSE,Draw four cards. You skip your next turn.,"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",TRUE,[],rare,{},"['19133', '368414']",4.01
115,Mind Over Matter,3,EXO,SP,n,EN,367194,4351,{2}{U}{U}{U}{U},6,['Enchantment'],,FALSE,"Discard a card: You may tap or untap target artifact, creature, or land.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",TRUE,[],rare,{},"['18248', '367194']",31.49
116,Morphling,1,USG,SP,n,EN,369703,6947,{3}{U}{U},5,['Creature'], — Shapeshifter,FALSE,"{U}: Untap Morphling.
{U}: Morphling gains flying until end of turn.
{U}: Morphling gains shroud until end of turn. (It can't be the target of spells or abilities.)
{1}: Morphling gets +1/-1 until end of turn.
{1}: Morphling gets -1/+1 until end of turn.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",TRUE,[],rare,"{'power': '3', 'toughness': '3'}","['20422', '369703']",8.24
117,Mystic Remora,2,ICE,SP,n,EN,367626,4815,{U},1,['Enchantment'],,FALSE,"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
Whenever an opponent casts a noncreature spell, you may draw a card unless that player pays {4}.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'banned', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,['Cumulative upkeep'],common,{},"['18680', '367626']",7.07
118,Opt,9,INV,SP,n,EN,370309,7572,{U},1,['Instant'],,FALSE,"Scry 1.
Draw a card.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'legal', 'gladiator': 'legal', 'pioneer': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'legal', 'alchemy': 'not_legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,['Scry'],common,{},"['21028', '370309']",0.18
119,Overburden,1,PCY,SP,n,EN,370087,7340,{1}{U},2,['Enchantment'],,FALSE,"Whenever a player puts a nontoken creature onto the battlefield, that player returns a land they control to its owner's hand.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],rare,{},"['20806', '370087']",7.64
120,Propaganda,10,TMP,SP,n,EN,368455,5675,{2}{U},3,['Enchantment'],,FALSE,Creatures can't attack you unless their controller pays {2} for each creature they control that's attacking you.,"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],uncommon,{},"['19174', '368455']",2.66
121,Quash,1,UDS,SP,y,EN,848901,6225,{2}{U}{U},4,['Instant'],,FALSE,"Counter target instant or sorcery spell. Search its controller's graveyard, hand, and library for all cards with the same name as that spell and exile them. Then that player shuffles.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],uncommon,{},"['43525', '848901']",1.22
122,Rhystic Study,3,PCY,SP,n,EN,370104,7357,{2}{U},3,['Enchantment'],,FALSE,"Whenever an opponent casts a spell, you may draw a card unless that player pays {1}.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'banned', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],common,{},"['20823', '370104']",26.98
123,Scent of Brine,1,UDS,SP,y,EN,848913,6237,{1}{U},2,['Instant'],,FALSE,Reveal any number of blue cards in your hand. Counter target spell unless its controller pays {1} for each card revealed this way.,"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],common,{},"['43537', '848913']",1.06
124,Seahunter,2,NEM,SP,n,EN,369969,7222,{2}{U}{U},4,['Creature'], — Human Mercenary,FALSE,"{3}, {T}: Search your library for a Merfolk permanent card, put it onto the battlefield, then shuffle.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],rare,"{'power': '2', 'toughness': '2'}","['20688', '369969']",3.48
125,Second Chance,2,ULG,SP,n,EN,369158,6381,{2}{U},3,['Enchantment'],,FALSE,"At the beginning of your upkeep, if you have 5 or less life, sacrifice Second Chance and take an extra turn after this one.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",TRUE,[],rare,{},"['19877', '369158']",3.59
126,Second Chance,1,ULG,MP,n,EN,337642,6381,{2}{U},3,['Enchantment'],,FALSE,"At the beginning of your upkeep, if you have 5 or less life, sacrifice Second Chance and take an extra turn after this one.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",TRUE,[],rare,{},"['19877', '369158', '337642']",3.32
127,Show and Tell,1,USG,SP,n,EN,369786,7036,{2}{U},3,['Sorcery'],,FALSE,"Each player may put an artifact, creature, enchantment, or land card from their hand onto the battlefield.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'banned'}",FALSE,[],rare,{},"['20505', '369786']",17.99
128,Sisay's Ingenuity,1,PLS,SP,y,EN,843967,7874,{U},1,['Enchantment'], — Aura,FALSE,"Enchant creature
When Sisay's Ingenuity enters the battlefield, draw a card.
Enchanted creature has ""{2}{U}: Target creature becomes the color of your choice until end of turn.""","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,['Enchant'],common,{},"['45123', '843967']",0.20
129,Sky Weaver,1,INV,SP,y,EN,839157,7660,{1}{U},2,['Creature'], — Metathran Wizard,FALSE,{2}: Target white or black creature gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'restricted', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],uncommon,"{'power': '2', 'toughness': '1'}","['44916', '839157']",0.27
130,Sleight of Hand,13,7ED,SP,n,EN,366107,3082,{U},1,['Sorcery'],,FALSE,Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.,"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],common,{},"['17161', '366107']",0.38
131,Soothsaying,3,MMQ,SP,n,EN,369470,6705,{U},1,['Enchantment'],,FALSE,"{3}{U}{U}: Shuffle your library.
{X}: Look at the top X cards of your library, then put them back in any order.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],uncommon,{},"['20189', '369470']",1.07
132,Stasis,1,5ED,SP,n,EN,365439,2384,{1}{U},2,['Enchantment'],,FALSE,"Players skip their untap steps.
At the beginning of your upkeep, sacrifice Stasis unless you pay {U}.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'legal', 'premodern': 'legal'}",FALSE,[],rare,{},"['16493', '365439']",5.30
133,Stinging Barrier,1,MMQ,MP,y,EN,801453,6718,{2}{U}{U},4,['Creature'], — Wall,FALSE,"Defender (This creature can't attack.)
{U}, {T}: Stinging Barrier deals 1 damage to any target.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,['Defender'],common,"{'power': '0', 'toughness': '4'}","['44006', '841375', '801453']",0.42
134,Stormscape Apprentice,1,INV,SP,y,EN,839173,7678,{U},1,['Creature'], — Human Wizard,FALSE,"{W}, {T}: Tap target creature.
{B}, {T}: Target player loses 1 life.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],common,"{'power': '1', 'toughness': '1'}","['44932', '839173']",0.75
135,Submerge,1,NEM,SP,y,EN,842526,7250,{4}{U},5,['Instant'],,FALSE,"If an opponent controls a Forest and you control an Island, you may cast this spell without paying its mana cost.
Put target creature on top of its owner's library.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],uncommon,{},"['44520', '842526']",63.00
136,Sunder,1,USG,SP,n,EN,369808,7058,{3}{U}{U},5,['Instant'],,FALSE,Return all lands to their owners' hands.,"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],rare,{},"['20527', '369808']",6.29
137,Taniwha,1,MIR,SP,n,EN,368048,5256,{3}{U}{U},5,['Creature'],Legendary  — Serpent,TRUE,"Trample
Phasing (This phases in or out before you untap during each of your untap steps. While it's phased out, it's treated as though it doesn't exist.)
At the beginning of your upkeep, all lands you control phase out. (They phase in before you untap during your next untap step.)","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",TRUE,"['Trample', 'Phasing']",rare,"{'power': '7', 'toughness': '7'}","['13743', '368048']",3.60
138,Teferi's Response,2,INV,SP,n,EN,370424,7696,{1}{U},2,['Instant'],,FALSE,"Counter target spell or ability an opponent controls that targets a land you control. If a permanent's ability is countered this way, destroy that permanent.
Draw two cards.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],rare,{},"['21143', '370424']",0.52
139,Thornwind Faeries,1,ULG,MP,y,EN,809149,6395,{1}{U}{U},3,['Creature'], — Faerie,FALSE,"Flying
{T}: Thornwind Faeries deals 1 damage to any target.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,['Flying'],common,"{'power': '1', 'toughness': '1'}","['43695', '849071', '809149']",4.86
140,Tinker,4,ULG,SP,n,EN,369177,6400,{2}{U},3,['Sorcery'],,FALSE,"As an additional cost to cast this spell, sacrifice an artifact.
Search your library for an artifact card, put that card onto the battlefield, then shuffle.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'banned', 'pauper': 'not_legal', 'vintage': 'restricted', 'penny': 'not_legal', 'commander': 'banned', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'banned', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],uncommon,{},"['19896', '369177']",0.89
141,Tinker,2,ULG,MP,n,EN,337661,6400,{2}{U},3,['Sorcery'],,FALSE,"As an additional cost to cast this spell, sacrifice an artifact.
Search your library for an artifact card, put that card onto the battlefield, then shuffle.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'banned', 'pauper': 'not_legal', 'vintage': 'restricted', 'penny': 'not_legal', 'commander': 'banned', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'banned', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],uncommon,{},"['19896', '369177', '337661']",0.89
142,Tradewind Rider,1,TMP,MP,n,EN,337037,5776,{3}{U},4,['Creature'], — Spirit,FALSE,"Flying
{T}, Tap two untapped creatures you control: Return target permanent to its owner's hand.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,['Flying'],rare,"{'power': '1', 'toughness': '4'}","['19272', '368553', '337037']",2.24
143,Turnabout,5,USG,SP,n,EN,369825,7078,{2}{U}{U},4,['Instant'],,FALSE,"Choose artifact, creature, or land. Tap all untapped permanents of the chosen type target player controls, or untap all tapped permanents of that type that player controls.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],uncommon,{},"['20544', '369825']",2.69
144,Volrath's Shapeshifter,2,STH,MP,n,EN,336716,5440,{1}{U}{U},3,['Creature'], — Phyrexian Shapeshifter,FALSE,"As long as the top card of your graveyard is a creature card, Volrath's Shapeshifter has the full text of that card and has the text ""{2}: Discard a card."" (Volrath's Shapeshifter has that card's name, mana cost, color, types, abilities, power, and toughness.)
{2}: Discard a card.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",TRUE,[],rare,"{'power': '0', 'toughness': '1'}","['18951', '368232', '336716']",2.69
145,Walking Sponge,1,ULG,SP,y,EN,849088,6412,{1}{U},2,['Creature'], — Sponge,FALSE,"{T}: Target creature loses your choice of flying, first strike, or trample until end of turn.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'restricted', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],uncommon,"{'power': '1', 'toughness': '1'}","['43712', '849088']",4.49
146,Wall of Kelp,1,HML,HP,n,EN,351629,4568,{U}{U},2,['Creature'], — Plant Wall,FALSE,"Defender (This creature can't attack.)
{U}{U}, {T}: Create a 0/1 blue Plant Wall creature token with defender named Kelp.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",TRUE,['Defender'],rare,"{'power': '0', 'toughness': '3'}","['18441', '367387', '335871', '351629']",2.83
147,Weatherseed Faeries,1,ULG,SP,y,EN,849090,6414,{2}{U},3,['Creature'], — Faerie,FALSE,"Flying, protection from red","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,"['Flying', 'Protection']",common,"{'power': '2', 'toughness': '1'}","['43714', '849090']",2.25
148,Windfall,3,USG,SP,n,EN,369857,7110,{2}{U},3,['Sorcery'],,FALSE,"Each player discards their hand, then draws cards equal to the greatest number of cards a player discarded this way.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'banned', 'pauper': 'not_legal', 'vintage': 'restricted', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'banned'}",FALSE,[],uncommon,{},"['20576', '369857']",3.23
149,Withdraw,2,PCY,SP,y,EN,844870,7405,{U}{U},2,['Instant'],,FALSE,Return target creature to its owner's hand. Then return another target creature to its owner's hand unless its controller pays {1}.,"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",FALSE,[],common,{},"['44675', '844870']",2.69
150,Zephid,2,USG,SP,n,EN,369866,7119,{4}{U}{U},6,['Creature'], — Illusion,FALSE,"Flying
Shroud (This creature can't be the target of spells or abilities.)","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'legal'}",TRUE,"['Flying', 'Shroud']",rare,"{'power': '3', 'toughness': '4'}","['20585', '369866']",0.65
151,Stubborn Denial,1,KTK,SP,n,EN,1255698,93033,{U},1,['Instant'],,FALSE,"Counter target noncreature spell unless its controller pays {1}.
Ferocious — If you control a creature with power 4 or greater, counter that spell instead.","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', 'brawl': 'not_legal', 'historicbrawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'legal', 'oldschool': 'not_legal', 'premodern': 'not_legal'}",FALSE,['Ferocious'],uncommon,{},"['1255697', '1255698']",0.54
